number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,user_attrs_best_model,state
6,14.61294956998905,2024-02-10 16:18:06.538890,2024-02-10 16:18:21.226997,0 days 00:00:14.688107,0,0.07849317250707094,14,2,140,1,0,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07849317250707094,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=14, max_leaves=None,
             min_child_weight=2, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=140, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
17,16.888165678376247,2024-02-10 16:18:21.255448,2024-02-10 16:18:27.552845,0 days 00:00:06.297397,0,0.07115181227372944,11,4,80,5,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.07115181227372944,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=80, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
16,17.44830426754083,2024-02-10 16:18:20.837459,2024-02-10 16:18:27.564786,0 days 00:00:06.727327,2,0.09925325869097265,11,5,170,5,5,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=2, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.09925325869097265,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=170, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
8,18.478508397881996,2024-02-10 16:18:06.888827,2024-02-10 16:18:11.005270,0 days 00:00:04.116443,3,0.08452516973854639,8,3,80,5,4,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=3, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.08452516973854639,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=8, max_leaves=None,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=80, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
2,21.280291864839768,2024-02-10 16:18:01.369161,2024-02-10 16:18:07.997317,0 days 00:00:06.628156,3,0.025951475874782078,5,5,160,0,4,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=3, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.025951475874782078,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=5, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=160, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
15,21.66562341637978,2024-02-10 16:18:16.261657,2024-02-10 16:18:28.446246,0 days 00:00:12.184589,3,0.00664603228883121,11,5,190,5,5,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=3, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.00664603228883121,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=190, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
7,22.853325067288086,2024-02-10 16:18:06.634118,2024-02-10 16:18:09.998343,0 days 00:00:03.364225,1,0.03720183768873114,8,1,30,2,2,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=1, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.03720183768873114,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=8, max_leaves=None,
             min_child_weight=1, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=30, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
20,22.91826456877941,2024-02-10 16:18:27.610920,2024-02-10 16:18:43.084672,0 days 00:00:15.473752,0,0.004113901388045874,11,4,200,3,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.004113901388045874,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=200, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
1,23.06963122186189,2024-02-10 16:18:01.349037,2024-02-10 16:18:06.533810,0 days 00:00:05.184773,1,0.015911868437732395,5,2,110,0,4,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=1, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.015911868437732395,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=5, max_leaves=None,
             min_child_weight=2, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=110, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
18,26.275479597469392,2024-02-10 16:18:22.249296,2024-02-10 16:18:29.840885,0 days 00:00:07.591589,0,0.004351115778483627,11,4,80,5,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.004351115778483627,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=80, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
14,26.334551275583333,2024-02-10 16:18:14.425071,2024-02-10 16:18:20.832857,0 days 00:00:06.407786,5,0.004529416371781811,14,4,70,5,5,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=5, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.004529416371781811,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=14, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=70, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
23,26.63218907243255,2024-02-10 16:18:29.860843,2024-02-10 16:18:43.677129,0 days 00:00:13.816286,0,0.0019836686131258713,12,4,140,1,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.0019836686131258713,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=12, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=140, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
22,26.791947129366612,2024-02-10 16:18:29.658795,2024-02-10 16:18:37.673685,0 days 00:00:08.014890,0,0.0030851707108423276,11,4,90,1,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.0030851707108423276,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=90, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
19,26.97150378422603,2024-02-10 16:18:27.578352,2024-02-10 16:18:35.735330,0 days 00:00:08.156978,0,0.0029970456973198115,11,4,90,3,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.0029970456973198115,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=11, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=90, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
24,27.260107736151667,2024-02-10 16:18:35.761443,2024-02-10 16:18:52.669303,0 days 00:00:16.907860,0,0.0014683375691137374,13,1,140,1,0,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.0014683375691137374,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=13, max_leaves=None,
             min_child_weight=1, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=140, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
21,28.3524249911632,2024-02-10 16:18:28.467809,2024-02-10 16:18:37.607498,0 days 00:00:09.139689,0,0.0015715450311305438,12,4,90,3,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=0, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.0015715450311305438,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=12, max_leaves=None,
             min_child_weight=4, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=90, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
5,29.94510938764821,2024-02-10 16:18:02.893995,2024-02-10 16:18:06.874305,0 days 00:00:03.980310,2,0.00044206973636534317,2,3,130,4,3,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=2, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.00044206973636534317,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=2, max_leaves=None,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=130, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
3,29.955931650135334,2024-02-10 16:18:01.397089,2024-02-10 16:18:07.839657,0 days 00:00:06.442568,3,0.00033760108951546046,6,0,110,2,2,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=3, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.00033760108951546046,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=0, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=110, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
9,29.96674499691296,2024-02-10 16:18:07.845440,2024-02-10 16:18:22.225417,0 days 00:00:14.379977,2,0.00016261836537855538,15,2,150,4,1,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=2, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.00016261836537855538,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=15, max_leaves=None,
             min_child_weight=2, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=150, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
11,30.152822804179607,2024-02-10 16:18:10.005885,2024-02-10 16:18:16.256975,0 days 00:00:06.251090,4,0.00023794309516702073,14,2,60,3,3,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=4, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.00023794309516702073,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=14, max_leaves=None,
             min_child_weight=2, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=60, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
13,30.18666415908994,2024-02-10 16:18:12.318977,2024-02-10 16:18:29.622846,0 days 00:00:17.303869,2,5.860265323651018e-05,14,2,200,2,2,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=2, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=5.860265323651018e-05,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=14, max_leaves=None,
             min_child_weight=2, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=200, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
10,30.281702556858118,2024-02-10 16:18:08.004991,2024-02-10 16:18:14.419758,0 days 00:00:06.414767,4,6.313777111478188e-05,3,0,180,2,0,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=4, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=6.313777111478188e-05,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=3, max_leaves=None,
             min_child_weight=0, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=180, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
0,30.330469427211444,2024-02-10 16:18:01.346562,2024-02-10 16:18:02.891046,0 days 00:00:01.544484,4,0.00048940412363371,6,3,10,2,4,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=4, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.00048940412363371,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=10, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
12,30.34806239188749,2024-02-10 16:18:11.014731,2024-02-10 16:18:12.315149,0 days 00:00:01.300418,1,0.0004955845478496827,2,1,10,1,0,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=1, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.0004955845478496827,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=2, max_leaves=None,
             min_child_weight=1, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=10, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
4,30.359798958132693,2024-02-10 16:18:01.414349,2024-02-10 16:18:06.629181,0 days 00:00:05.214832,4,2.511177964932093e-05,3,5,120,1,3,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=4, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=2.511177964932093e-05,
             max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=3, max_leaves=None,
             min_child_weight=5, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=120, n_jobs=1,
             num_parallel_tree=None, random_state=42, ...)",COMPLETE
